frame,sparc
427,-2.5795622246977272
428,-2.5935468357903826
429,-2.6181467464234416
430,-2.62080949804264
431,-2.589463224064174
432,-2.5367718541872524
433,-2.686996572852037
434,-2.9001086085119923
435,-3.019552387946999
436,-2.972125822661359
437,-2.7494750524623393
438,-2.446997406581886
439,-2.2040431924464334
440,-2.15163709608993
441,-2.2362469052471154
442,-2.313856042231112
443,-2.3685831788009035
444,-2.419419705737362
445,-2.474428056346947
446,-2.5257287048621104
447,-2.569618148443622
448,-2.6100780736769424
449,-2.650080430268877
450,-2.689193300687802
451,-2.725427626857058
452,-2.7567349168141746
453,-2.781803343805088
454,-2.800241239357307
455,-2.8123595150315452
456,-2.8187487548970025
457,-2.8196294108196684
458,-2.813787486729856
459,-2.7975055249548473
460,-2.7648140207275156
461,-2.709256619856883
462,-2.6273603107582564
463,-2.523262304842719
464,-2.411527706323531
465,-2.3144546870819074
466,-2.2538005121450597
467,-2.241832802194712
468,-2.2776992844372503
469,-2.350177599588995
470,-2.442944865573176
471,-2.5398128717213897
472,-2.6283203246639224
473,-2.7008382088282548
474,-2.7537851089426235
475,-2.7862116234365275
476,-2.798642428440326
477,-2.792397790606567
478,-2.7692037951001423
479,-2.7307897431604022
480,-2.678295251406644
481,-2.611675956253784
482,-2.5297403477944354
483,-2.4310977166132637
484,-2.315407484918011
485,-2.1845118554815706
486,-2.043863129840407
487,-1.9172289082046758
488,-1.8779463472467783
489,-1.8786581349145388
490,-1.8636129126563075
491,-1.8380358541073387
492,-1.8350409938206327
493,-1.9069731641271397
494,-2.036700968698219
495,-2.1453284222681246
496,-2.2433945012250462
497,-2.342743825399984
498,-2.444333465978187
499,-2.5433501064322375
500,-2.632429761568889
501,-2.7037888482093773
502,-2.751656763146651
503,-2.774023217207435
504,-2.772508167101499
505,-2.750541569938297
506,-2.7114687739826193
507,-2.6580231938378285
508,-2.59325788891245
509,-2.5219553746774848
510,-2.451327276111037
511,-2.3904839413341996
512,-2.349112948835181
513,-2.335813878212485
514,-2.356231797556627
515,-2.4112820456208413
516,-2.495705301450746
517,-2.5977026119716093
518,-2.700510628106859
519,-2.783245706599171
520,-2.8240797855341992
521,-2.817970055178683
522,-2.780840474715397
523,-2.732822285212412
524,-2.6880183214805684
525,-2.6548821486218452
526,-2.6367990957393377
527,-2.631497775641098
528,-2.6314749212533854
529,-2.6252097754755064
530,-2.6011135016793934
531,-2.555770042147167
532,-2.497158176686541
533,-2.437531308163672
534,-2.3864210852021235
535,-2.349010785153222
536,-2.3257160493807554
537,-2.3131647123570933
538,-2.3070837095841474
539,-2.306411567990317
540,-2.318068513450006
541,-2.363805692046426
542,-2.517407086124759
543,-2.6967767808563297
544,-2.7716510262191565
545,-2.7541240036364427
546,-2.6931290621771065
547,-2.6429070577623768
548,-2.638312533206277
549,-2.6412682439822204
550,-2.6628221582363194
551,-2.70992059994909
552,-2.7474422228261823
553,-2.7578803017024867
554,-2.74516221756707
555,-2.723228650992006
556,-2.7042382958678166
557,-2.690152021596931
558,-2.6748660404443543
559,-2.6507490117628976
560,-2.608785458069954
561,-2.668258360487394
562,-2.9773526591737376
563,-3.2505263174494563
564,-2.2333139491405367
565,-1.742051614404522
566,-1.8382693251764506
567,-2.1110067152627936
568,-2.3010886780561983
569,-2.441343848594756
570,-2.551620464986983
571,-2.6400487119912848
572,-2.7092744323235247
573,-2.75879008501485
574,-2.785916865423104
575,-2.787666698424225
576,-2.763486675414985
577,-2.717000019073401
578,-2.6551220958933253
579,-2.585881350237229
580,-2.5174791589970686
581,-2.458449483151872
582,-2.417262034021226
583,-2.401027948183506
584,-2.4142467991683914
585,-2.4579082390002
586,-2.5277776373383425
587,-2.6123707252470973
588,-2.6946050614399972
589,-2.757238219473978
590,-2.7887140030510316
591,-2.7871265248330874
592,-2.759244972651828
593,-2.7128577078577667
594,-2.6519134265142355
595,-2.5842474068439145
596,-2.5230230709518833
597,-2.4764315622427717
598,-2.4441372983530223
599,-2.426369003113546
600,-2.4299267685961197
601,-2.4528117805102116
602,-2.4670695455904488
603,-2.4427383649317687
604,-2.377095876854107
605,-2.3051204580208826
606,-2.245969089486544
607,-2.199131496866937
608,-2.17528176994931
609,-2.186427706002295
610,-2.2400602275023944
611,-2.3328094245480235
612,-2.439311292876647
613,-2.5319833592657606
614,-2.6067189718346486
615,-2.6740896891373143
616,-2.7551315238359066
617,-2.9110053526873667
618,-3.042581234367832
619,-2.9964547426055788
620,-2.5717228380546313
621,-2.301437211621522
622,-2.2594807638633827
623,-2.2803600342192265
624,-2.322773841332771
625,-2.3760857157747735
626,-2.433950949300548
627,-2.4879838372257623
628,-2.530283436762587
629,-2.556914254214427
630,-2.5672280868877344
631,-2.5622340242096056
632,-2.5457861403519733
633,-2.527679491416067
634,-2.521131105784981
635,-2.5296557015094168
636,-2.5444034793522383
637,-2.5600537663040823
638,-2.5790997137382967
639,-2.604776311567487
640,-2.635674379798008
641,-2.6681168328581224
642,-2.699216459694275
643,-2.727333421447012
644,-2.751725737908113
645,-2.772242077107993
646,-2.789098713883226
647,-2.8026500256359177
648,-2.8131304571178974
649,-2.8204596799853254
650,-2.8241438823248175
651,-2.823249881970096
652,-2.816477245074479
653,-2.8023736776933275
654,-2.7796874900637705
655,-2.7477547341692903
656,-2.7067560847052503
657,-2.6577207960865104
658,-2.60230169247397
659,-2.5425110502646144
660,-2.4806648296453027
661,-2.4196768870959255
662,-2.3636454023533635
663,-2.31847136086806
664,-2.2920789909280836
665,-2.293624474413648
666,-2.3307694212446584
667,-2.4042016165351643
668,-2.501596919161109
669,-2.599023914895906
670,-2.67415086126839
671,-2.7184901733564004
672,-2.73505505363467
673,-2.727887743550235
674,-2.698080383242204
675,-2.6588952311939527
676,-2.641620240926733
677,-2.636994696817842
678,-2.6532035108115837
679,-2.6869800908772685
680,-2.721477173054623
681,-2.7495745936312668
682,-2.769874063933825
683,-2.7827520983618976
684,-2.788871300868303
685,-2.7886262466068206
686,-2.781902498579516
687,-2.7678170540318563
688,-2.7443806981722685
689,-2.7092270689917153
690,-2.6603017447559583
691,-2.595552379314383
692,-2.5133893830126786
693,-2.42145751589063
694,-2.3939998258662403
695,-2.4232575046747185
696,-2.418009155767936
697,-2.3676801798994367
698,-2.2149227717615783
699,-2.062159010590854
700,-2.1810162206486945
701,-2.3679384554848513
702,-2.4795792975607833
703,-2.5456875658833864
704,-2.593880193007322
705,-2.5803372257706934
706,-2.4936164978318383
707,-2.38406922905128
708,-2.3342099644289367
709,-2.3744943649967802
710,-2.4715004393563094
711,-2.5901217914451133
712,-2.6876290857931227
713,-2.733175856064676
714,-2.728852722320385
715,-2.6982504903452003
716,-2.6612524583772177
717,-2.62106192004754
718,-2.562277934287598
719,-2.4639300429260462
720,-2.3092713447400444
721,-2.0937845924515397
722,-1.8534598563215225
723,-1.7903319506522386
724,-1.8299802860158176
725,-1.8572188640770162
726,-1.8885120675185387
727,-2.158726134512767
728,-2.401812677530669
729,-2.5593679696971416
730,-2.655717564834811
731,-2.7165470542533496
732,-2.756661449470494
733,-2.782771352137006
734,-2.7970151966561185
735,-2.79915555433582
736,-2.7878411926594393
737,-2.761469295263063
738,-2.7190574198084305
739,-2.6611838283075984
740,-2.590555999223777
741,-2.5118195404907513
742,-2.430964863109963
743,-2.355202779451259
744,-2.2939678257394083
745,-2.2611103667275114
746,-2.2770693493904512
747,-2.3651644712807482
748,-2.526690385158669
749,-2.6977250864027384
750,-2.773602690327145
751,-2.717226924588174
752,-2.5744409411834144
753,-2.407524418822856
754,-2.2635984584218463
755,-2.1751060134322144
756,-2.1630039074462064
757,-2.237022671327954
758,-2.3868472583612435
759,-2.559910391770536
760,-2.687419303559627
761,-2.7446523833039285
