frame,sparc
15,-2.657485052151246
16,-2.7218236212307274
17,-2.772157550549331
18,-2.804088323913153
19,-2.8164856920028574
20,-2.8105445042207773
21,-2.7883490124544106
22,-2.751746103343227
23,-2.7020102342168406
24,-2.6402871462090163
25,-2.568517591668078
26,-2.490435288735593
27,-2.4122324644520257
28,-2.3426440968769193
29,-2.2925075906396946
30,-2.273983906309835
31,-2.2990436374654264
32,-2.375390330149812
33,-2.4977465352326784
34,-2.6386352419196664
35,-2.7534267979482983
36,-2.8062540115376238
37,-2.7917155195167194
38,-2.728754111270772
39,-2.6413505302125717
40,-2.547349982373626
41,-2.457325740710451
42,-2.377319297320669
43,-2.311946928311116
44,-2.268030213849814
45,-2.260610771065669
46,-2.3185746658518194
47,-2.4835128503297574
48,-2.6957899103939735
49,-2.771029950920961
50,-2.700308714362647
51,-2.5652252696083275
52,-2.442518006496525
53,-2.368303162247513
54,-2.3587119816422097
55,-2.429460043681021
56,-2.5865470601263034
57,-2.7456114318502123
58,-2.6968714468137356
59,-2.487473944228799
60,-2.3411572407138532
61,-2.2977689318633683
62,-2.3224956602426965
63,-2.386439122662648
64,-2.4711103750275347
65,-2.5628359009350845
66,-2.6501774910954956
67,-2.723833546576384
68,-2.7771840339426674
69,-2.8063661210333892
70,-2.8098235985578484
71,-2.7879651458604267
72,-2.7434124226699295
73,-2.6815006771916963
74,-2.6100859213025043
75,-2.5382040592262847
76,-2.474414031658953
77,-2.4263459564774235
78,-2.403075810305457
79,-2.453482550445113
80,-2.615296417044838
81,-2.7470005413720893
82,-2.769567964569035
83,-2.7069621628939657
84,-2.624551547540719
85,-2.58436217640635
86,-2.59189167089824
87,-2.618680212120384
88,-2.6549364598911387
89,-2.695230693143451
90,-2.733581128042337
91,-2.76215305068006
92,-2.772323204294622
93,-2.75808021797582
94,-2.718635480725757
95,-2.657101827580982
96,-2.576958628622581
97,-2.479331115044136
98,-2.3609091724762243
99,-2.209157091232063
100,-1.985053993912087
101,-1.7603306301828898
102,-3.1176480080054914
103,-2.7719492967516297
104,-2.8196174688558404
105,-2.768461758770544
106,-2.7454867500154307
107,-2.754319157493325
108,-2.7742214797767826
109,-2.775814791046944
110,-2.7335722181745976
111,-2.649109210377193
112,-2.5509231254574947
113,-2.4691980114609278
114,-2.420493152772655
115,-2.408490086504555
116,-2.429481666989481
117,-2.476543599401984
118,-2.5415497088439416
119,-2.6156590094936476
120,-2.6890630396941044
121,-2.7509814707534774
122,-2.791076891479212
123,-2.8026393167812973
124,-2.785564718556045
125,-2.74614574758258
126,-2.6938115412266437
127,-2.6379185976635915
128,-2.5863954502466164
129,-2.545770186008247
130,-2.553955605622301
131,-2.738173050540988
132,-2.6563112896086225
133,-2.444670581391404
134,-2.485003722529248
135,-2.5413460877216356
136,-2.6014226071766773
137,-2.6618302955448057
138,-2.7185884523063835
139,-2.7660787716535986
140,-2.796832847701389
141,-2.8022417943165787
142,-2.774875878562416
143,-2.712588050989327
144,-2.6228212641947595
145,-2.523495501547015
146,-2.437843996843455
147,-2.386697654235817
148,-2.3812786012971423
149,-2.418500902175242
150,-2.4888608626679236
151,-2.579977030628114
152,-2.676121565259636
153,-2.7578153917256083
154,-2.8043418758212684
155,-2.8004113515150992
156,-2.7442168706807513
157,-2.650631254511223
158,-2.545477827235586
159,-2.454553830661183
160,-2.3954217439011947
161,-2.375605226806734
162,-2.394739967573557
163,-2.4470682861047344
164,-2.52290102323954
165,-2.609660838816488
166,-2.693438817650585
167,-2.7611409994938447
168,-2.8024815220551296
169,-2.811141849797253
170,-2.7851317652053442
171,-2.726831420865366
172,-2.642923810708438
173,-2.5439097692533514
174,-2.4428369315450356
175,-2.353386927696157
176,-2.2878239230803286
177,-2.2542015268814515
178,-2.2551686794772032
179,-2.29157773718931
180,-2.3575785692960354
181,-2.4430227832234785
182,-2.5426698447336453
183,-2.649659132210724
184,-2.745259766163671
185,-2.8045250156610586
186,-2.8078135346508235
187,-2.7493189961910174
188,-2.642952258438218
189,-2.521392941428344
190,-2.4173765345320626
191,-2.3483332466198386
192,-2.319614018570511
193,-2.3310893885638215
194,-2.3806380379225525
195,-2.4652486447522572
196,-2.582771535431372
197,-2.701920817726927
198,-2.740860713466789
199,-2.714654787952064
200,-2.657642353179921
201,-2.6281198823342735
202,-2.609886153464176
203,-2.622507011435193
204,-2.6730071639289834
205,-2.6990416656898377
206,-2.7196270537658953
207,-2.738724460879625
208,-2.7428004252781326
209,-2.720725604972303
210,-2.6679260113897545
211,-2.5955790850186156
212,-2.548362422172492
213,-2.4998686379082122
214,-2.512458387333418
215,-2.558177303845253
216,-2.6280091894421007
217,-2.7070828730114935
218,-2.7674747454182773
219,-2.7739209402558025
220,-2.7134180875174745
221,-2.6186883645003
222,-2.532976887459644
223,-2.4787686272932126
224,-2.4631922148713623
225,-2.4873693054250845
226,-2.5493603245749843
227,-2.6399230948998214
228,-2.7306157677076612
229,-2.7694923973174594
230,-2.7326894853674335
231,-2.6475492948622614
232,-2.5557556183980035
233,-2.4847559507230073
234,-2.445459693561068
235,-2.4397599498362323
236,-2.465652478753944
237,-2.5186979173754285
238,-2.5908618743554124
239,-2.668821300316455
240,-2.735654331044879
241,-2.7781110799898054
242,-2.793588806652631
243,-2.789036204704309
244,-2.774027805302698
245,-2.7544548813307084
246,-2.727021722148829
247,-2.677952041768237
248,-2.681464374978793
249,-2.727215738623631
250,-2.6859923826343044
251,-2.6436397151950044
252,-2.609014791512312
253,-2.5848882828106285
254,-2.5727386354966266
255,-2.570641067946884
256,-2.578323607989479
257,-2.601202913375959
258,-2.6425921298558204
259,-2.6873060145918717
260,-2.717257271244351
261,-2.732551303418937
262,-2.746175146624333
263,-2.764822248086473
264,-2.7851968432142047
265,-2.802619666217881
266,-2.813387793122052
267,-2.8147197249094575
268,-2.8041650268386946
269,-2.7788091108590445
270,-2.735151204545681
271,-2.670516810689448
272,-2.586173805611579
273,-2.490520856907704
274,-2.3991082484605695
275,-2.3300515904890835
276,-2.29785496086362
277,-2.3096449289759153
278,-2.364427206788668
279,-2.453498582606346
280,-2.561105972064885
281,-2.6665350799269696
282,-2.7485500737381754
283,-2.791156817278188
284,-2.78862858865686
285,-2.7471931032353347
286,-2.6816314251408877
287,-2.608530335596753
288,-2.5405253039674105
289,-2.484257840757177
290,-2.441714143550852
291,-2.413014922383507
292,-2.3976773909242524
293,-2.393415269722257
294,-2.396224407853853
295,-2.404404627506119
296,-2.422063147734859
297,-2.459216580180755
298,-2.585622917301933
299,-2.945369204573873
300,-3.1407078334279324
301,-3.0797123925860284
302,-2.8609375397780004
303,-2.7426342588155044
304,-2.6997857359693964
305,-2.6436899890747423
306,-2.5718124102464945
307,-2.4919513551082177
308,-2.419751981270584
309,-2.3786497815733183
310,-2.386889966254309
311,-2.432034065611996
312,-2.4995586899209425
313,-2.5771255396387573
314,-2.654561480879777
315,-2.7229438524102516
316,-2.773510655116433
317,-2.7972181848349793
318,-2.7863707489425873
319,-2.7389851827051794
320,-2.6628512792380423
321,-2.5737284594212086
322,-2.4885295692481106
323,-2.4208076853264164
324,-2.3808597745379805
325,-2.3776330586048124
326,-2.4194899410083384
327,-2.510032888545889
328,-2.6339033864144663
329,-2.738857041454947
330,-2.7542312804923617
331,-2.6629793386359593
332,-2.5307643504188877
333,-2.4263667410420515
334,-2.3715041736841247
335,-2.367521706747381
336,-2.4095817122340137
337,-2.4891196838695913
338,-2.591384798354827
339,-2.6884675201131376
340,-2.748323370289823
341,-2.7675102011779344
342,-2.7530326930055256
343,-2.714019117313742
344,-2.657690620878179
345,-2.5883533037222937
346,-2.507652716199792
347,-2.41513413231867
348,-2.3092745286052248
349,-2.1892315170213097
350,-2.0571791698683013
351,-1.925575454922304
352,-1.859669063939919
353,-2.138166488802658
354,-2.5563023174365735
355,-2.6839950467864977
356,-2.5267893207747023
357,-2.3908734923741433
358,-2.331611510686054
359,-2.3527395793642008
360,-2.4576956037581428
361,-2.6231771042423966
362,-2.7504610197498813
363,-2.7756222095793164
364,-2.7276902654549646
365,-2.648496452799639
366,-2.5662176714597296
367,-2.495961356796272
368,-2.4459680994906234
369,-2.4211652738324423
370,-2.4240901538141904
371,-2.4548051316257076
372,-2.510569937011648
373,-2.585010386005281
374,-2.666719533376055
375,-2.738860752581222
376,-2.782554034511476
377,-2.784257872985596
378,-2.7418329547856617
379,-2.663775315273598
380,-2.563348397767721
381,-2.4535488901737423
382,-2.3457991723736895
383,-2.251368651319322
384,-2.1830885422367325
385,-2.154244925698058
386,-2.172282605211479
387,-2.232290749271478
388,-2.3270923578621816
389,-2.4982983616799075
390,-2.6819936230287684
391,-2.7607212975735123
392,-2.7385629817478785
393,-2.6906253804976283
394,-2.694681850126572
395,-2.7270105333596235
396,-2.763251194195257
397,-2.7931034562218224
398,-2.811036017113388
399,-2.8142740909165345
400,-2.8012286613038264
401,-2.7704700848859645
402,-2.720912007912364
403,-2.6533099784444207
404,-2.572362771954548
405,-2.4878483528158384
406,-2.413306243957182
407,-2.3625170382420704
408,-2.34589959288236
409,-2.368466368359042
410,-2.4288840920009496
411,-2.5185994955476105
412,-2.6215909542715385
413,-2.7167172111415896
414,-2.7834020076194648
415,-2.8079219923829943
416,-2.7862703240531657
417,-2.7230239374712344
418,-2.6292093777037038
419,-2.520986719034764
420,-2.41775480467184
421,-2.3387096734617416
422,-2.2997522300008817
423,-2.3121646991985347
424,-2.3787148892455137
425,-2.485193490918396
426,-2.608181429916682
427,-2.7177482125653456
428,-2.787763675338964
429,-2.8067184951665856
430,-2.7785431757160235
431,-2.7152848261919194
432,-2.6295236354445164
433,-2.530928195987987
434,-2.426786819432623
435,-2.324778997511257
436,-2.2359741623448746
437,-2.1756511219191568
438,-2.1603395761983366
439,-2.2037373286241446
440,-2.3205368782522404
441,-2.5018325917555044
442,-2.6654074186446857
443,-2.7603363143510626
444,-2.7875814620997956
445,-2.7906665649013913
446,-2.7962929821789726
447,-2.7964120387014852
448,-2.788965661398053
449,-2.774016827740006
450,-2.750286526867355
451,-2.7154349124645685
452,-2.667281918991436
453,-2.6053353745821894
454,-2.5322773715278504
455,-2.4548239098274114
456,-2.383380039058673
457,-2.330353492120129
