frame,sparc
15,-2.6909068066992203
16,-2.671354115387746
17,-2.6815815532268013
18,-2.7758130227622084
19,-2.8713142541944916
20,-2.903278969478491
21,-2.841818875703667
22,-2.6877092521257233
23,-2.4822911677755015
24,-2.313611550771958
25,-2.325026943719742
26,-2.4731778767065493
27,-2.663112659233222
28,-2.712913278530326
29,-2.6002821879168887
30,-2.613438892295042
31,-2.688152428884847
32,-2.7355691870499466
33,-2.747324491989562
34,-2.7444876587880214
35,-2.7400493028122934
36,-2.736906123285288
37,-2.7338902693297804
38,-2.7284522301397875
39,-2.716738978249114
40,-2.693221685748097
41,-2.6520528190021624
42,-2.594716319944987
43,-2.508901830635952
44,-2.4506130082734363
45,-2.4782673476768933
46,-2.7687192565262944
47,-2.7920287568023747
48,-2.6605190825355205
49,-2.662922523777964
50,-2.6307003686037054
51,-2.634338012274829
52,-2.6979962859289435
53,-2.785067475975283
54,-2.838480809038518
55,-2.8129450320951705
56,-2.710170514145016
57,-2.5971158268917964
58,-2.496926616757747
59,-2.4286489166173073
60,-2.402812784681303
61,-2.418783387949594
62,-2.48003047252971
63,-2.601414289649248
64,-2.6985160372965855
65,-2.734318724999148
66,-2.7351876987406962
67,-2.729561158385694
68,-2.7296231576990477
69,-2.7335084531793297
70,-2.73676253049043
71,-2.7382768476138093
72,-2.7396527639549215
73,-2.742701161669909
74,-2.7456228619507006
75,-2.74052263143411
76,-2.717995585615412
77,-2.6738851689615424
78,-2.6073645995979646
79,-2.547150540603413
80,-2.4781874565467854
81,-2.471402357755055
82,-2.4970968101015454
83,-2.5654057126618124
84,-2.705320170224177
85,-2.878784366721625
86,-2.971367277578423
87,-2.922427997896164
88,-2.7339989198726125
89,-2.5054959937046277
90,-2.3379669048651595
91,-2.2379481175829516
92,-2.211473639461392
93,-2.2484723820340453
94,-2.3291117421471728
95,-2.4341469349200238
96,-2.5458418520868755
97,-2.648554979229439
98,-2.7298912215700377
99,-2.7826760518740143
100,-2.805800231303738
101,-2.8022531434450495
102,-2.7755503460379845
103,-2.727980529324509
104,-2.6624063866356122
105,-2.583534516875812
106,-2.49441659376582
107,-2.392811753037296
108,-2.2761358121932034
109,-2.1509250565860323
110,-2.038267512943992
111,-1.9786022337897833
112,-2.1382095144912876
